function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_j0	c:@F@p101_j0	XSI	libraries/lib_numeric/src/p101_math/math.c	libraries/lib_numeric/include/p101_math/p101_math.h	libraries/lib_posix_xsi/src/math.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_math.h	yes	yes	yes	j0	c:@F@j0
p101_j1	c:@F@p101_j1	XSI	libraries/lib_numeric/src/p101_math/math.c	libraries/lib_numeric/include/p101_math/p101_math.h	libraries/lib_posix_xsi/src/math.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_math.h	yes	yes	yes	j1	c:@F@j1
p101_jn	c:@F@p101_jn	XSI	libraries/lib_numeric/src/p101_math/math.c	libraries/lib_numeric/include/p101_math/p101_math.h	libraries/lib_posix_xsi/src/math.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_math.h	yes	yes	yes	jn	c:@F@jn
p101_y0	c:@F@p101_y0	XSI	libraries/lib_numeric/src/p101_math/math.c	libraries/lib_numeric/include/p101_math/p101_math.h	libraries/lib_posix_xsi/src/math.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_math.h	yes	yes	yes	y0	c:@F@y0
p101_y1	c:@F@p101_y1	XSI	libraries/lib_numeric/src/p101_math/math.c	libraries/lib_numeric/include/p101_math/p101_math.h	libraries/lib_posix_xsi/src/math.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_math.h	yes	yes	yes	y1	c:@F@y1
p101_yn	c:@F@p101_yn	XSI	libraries/lib_numeric/src/p101_math/math.c	libraries/lib_numeric/include/p101_math/p101_math.h	libraries/lib_posix_xsi/src/math.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_math.h	yes	yes	yes	yn	c:@F@yn
p101_arc4random	c:@F@p101_arc4random	common-Unix	libraries/lib_numeric/src/p101_random/stdlib.c	libraries/lib_numeric/include/p101_random/p101_stdlib.h	libraries/lib_unix/src/stdlib.c	libraries/lib_unix/include/p101_unix/p101_stdlib.h	yes	yes	yes	arc4random	c:@F@arc4random
p101_arc4random_buf	c:@F@p101_arc4random_buf	common-Unix	libraries/lib_numeric/src/p101_random/stdlib.c	libraries/lib_numeric/include/p101_random/p101_stdlib.h	libraries/lib_unix/src/stdlib.c	libraries/lib_unix/include/p101_unix/p101_stdlib.h	yes	yes	yes	arc4random_buf	c:@F@arc4random_buf
p101_arc4random_uniform	c:@F@p101_arc4random_uniform	common-Unix	libraries/lib_numeric/src/p101_random/stdlib.c	libraries/lib_numeric/include/p101_random/p101_stdlib.h	libraries/lib_unix/src/stdlib.c	libraries/lib_unix/include/p101_unix/p101_stdlib.h	yes	yes	yes	arc4random_uniform	c:@F@arc4random_uniform
p101_initstate	c:@F@p101_initstate	XSI	libraries/lib_numeric/src/p101_random/stdlib.c	libraries/lib_numeric/include/p101_random/p101_stdlib.h	libraries/lib_posix_xsi/src/stdlib.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_stdlib.h	yes	yes	yes	initstate	c:@F@initstate
p101_seed48	c:@F@p101_seed48	XSI	libraries/lib_numeric/src/p101_random/stdlib.c	libraries/lib_numeric/include/p101_random/p101_stdlib.h	libraries/lib_posix_xsi/src/stdlib.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_stdlib.h	yes	yes	yes	seed48	c:@F@seed48
p101_setstate	c:@F@p101_setstate	XSI	libraries/lib_numeric/src/p101_random/stdlib.c	libraries/lib_numeric/include/p101_random/p101_stdlib.h	libraries/lib_posix_xsi/src/stdlib.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_stdlib.h	yes	yes	yes	setstate	c:@F@setstate
p101_srand48	c:@F@p101_srand48	XSI	libraries/lib_numeric/src/p101_random/stdlib.c	libraries/lib_numeric/include/p101_random/p101_stdlib.h	libraries/lib_posix_xsi/src/stdlib.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_stdlib.h	yes	yes	yes	srand48	c:@F@srand48
p101_srandom	c:@F@p101_srandom	XSI	libraries/lib_numeric/src/p101_random/stdlib.c	libraries/lib_numeric/include/p101_random/p101_stdlib.h	libraries/lib_posix_xsi/src/stdlib.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_stdlib.h	yes	yes	yes	srandom	c:@F@srandom
